Date,Close,Change %
2000-01-03,1455.17,0.00%
2000-01-04,1399.42,-3.83%
2000-01-05,1402.11,-3.65%
2000-01-06,1403.46,-3.55%
2000-01-07,1441.46,-0.94%
2000-01-10,1457.59,0.17%
2000-01-11,1438.59,-1.14%
2000-01-12,1432.25,-1.58%
2000-01-13,1449.71,-0.38%
2000-01-14,1465.16,0.69%
2000-01-18,1455.14,0.00%
2000-01-19,1455.9,0.05%
2000-01-20,1445.57,-0.66%
2000-01-21,1441.35,-0.95%
2000-01-24,1401.53,-3.69%
2000-01-25,1410.04,-3.10%
2000-01-26,1404.09,-3.51%
2000-01-27,1398.56,-3.89%
2000-01-28,1360.15,-6.53%
2000-01-31,1394.46,-4.17%
2000-02-01,1409.28,-3.15%
2000-02-02,1409.12,-3.16%
2000-02-03,1424.96,-2.08%
2000-02-04,1424.37,-2.12%
2000-02-07,1424.14,-2.13%
2000-02-08,1441.39,-0.95%
2000-02-09,1411.86,-2.98%
2000-02-10,1416.84,-2.63%
2000-02-11,1387.11,-4.68%
2000-02-14,1389.97,-4.48%
2000-02-15,1402.05,-3.65%
2000-02-16,1387.6,-4.64%
2000-02-17,1388.25,-4.60%
2000-02-18,1346.07,-7.50%
2000-02-22,1352.17,-7.08%
2000-02-23,1360.69,-6.49%
2000-02-24,1353.43,-6.99%
2000-02-25,1333.36,-8.37%
2000-02-28,1348.05,-7.36%
2000-02-29,1366.41,-6.10%
2000-03-01,1379.25,-5.22%
2000-03-02,1381.76,-5.04%
2000-03-03,1409.17,-3.16%
2000-03-06,1391.28,-4.39%
2000-03-07,1355.62,-6.84%
2000-03-08,1366.72,-6.08%
2000-03-09,1401.69,-3.68%
2000-03-10,1395.07,-4.13%
2000-03-13,1383.61,-4.92%
2000-03-14,1375.77,-5.46%
2000-03-15,1392.16,-4.33%
2000-03-16,1458.47,0.23%
2000-03-17,1464.47,0.64%
2000-03-20,1456.63,0.10%
2000-03-21,1493.82,2.66%
2000-03-22,1500.64,3.12%
2000-03-23,1527.35,4.96%
2000-03-24,1527.54,4.97%
2000-03-27,1523.79,4.72%
2000-03-28,1507.73,3.61%
2000-03-29,1508.52,3.67%
2000-03-30,1487.96,2.25%
2000-03-31,1498.58,2.98%
2000-04-03,1505.97,3.49%
2000-04-04,1494.73,2.72%
2000-04-05,1487.37,2.21%
2000-04-06,1501.31,3.17%
2000-04-07,1516.35,4.20%
2000-04-10,1504.46,3.39%
2000-04-11,1500.59,3.12%
2000-04-12,1467.19,0.83%
2000-04-13,1440.51,-1.01%
2000-04-14,1357.52,-6.71%
2000-04-17,1401.53,-3.69%
2000-04-18,1441.61,-0.93%
2000-04-19,1428.01,-1.87%
2000-04-20,1434.55,-1.42%
2000-04-24,1429.86,-1.74%
2000-04-25,1477.49,1.53%
2000-04-26,1460.99,0.40%
2000-04-27,1464.92,0.67%
2000-04-28,1452.43,-0.19%
2000-05-01,1468.25,0.90%
2000-05-02,1446.29,-0.61%
2000-05-03,1415.1,-2.75%
2000-05-04,1409.43,-3.14%
2000-05-05,1432.63,-1.55%
2000-05-08,1424.17,-2.13%
2000-05-09,1412.12,-2.96%
2000-05-10,1383.08,-4.95%
2000-05-11,1407.81,-3.25%
2000-05-12,1420.96,-2.35%
2000-05-15,1452.36,-0.19%
2000-05-16,1466.04,0.75%
2000-05-17,1447.79,-0.51%
2000-05-18,1437.21,-1.23%
2000-05-19,1406.95,-3.31%
2000-05-22,1400.72,-3.74%
2000-05-23,1373.82,-5.59%
2000-05-24,1399.05,-3.86%
2000-05-25,1381.52,-5.06%
2000-05-26,1378.02,-5.30%
2000-05-30,1422.45,-2.25%
2000-05-31,1420.6,-2.38%
2000-06-01,1448.81,-0.44%
2000-06-02,1477.26,1.52%
2000-06-05,1467.63,0.86%
2000-06-06,1457.84,0.18%
2000-06-07,1471.36,1.11%
2000-06-08,1461.68,0.45%
2000-06-09,1456.95,0.12%
2000-06-12,1446,-0.63%
2000-06-13,1469.44,0.98%
2000-06-14,1470.54,1.06%
2000-06-15,1478.6,1.61%
2000-06-16,1464.47,0.64%
2000-06-19,1486,2.12%
2000-06-20,1476.28,1.45%
2000-06-21,1479.13,1.65%
2000-06-22,1452.18,-0.21%
2000-06-23,1441.54,-0.94%
2000-06-26,1455.31,0.01%
2000-06-27,1450.55,-0.32%
2000-06-28,1454.82,-0.02%
2000-06-29,1442.39,-0.88%
2000-06-30,1454.6,-0.04%
2000-07-03,1469.32,0.97%
2000-07-05,1445.6,-0.66%
2000-07-06,1456.67,0.10%
2000-07-07,1478.9,1.63%
2000-07-10,1475.62,1.41%
2000-07-11,1480.88,1.77%
2000-07-12,1492.92,2.59%
2000-07-13,1495.84,2.79%
2000-07-14,1509.9,3.76%
2000-07-17,1510.5,3.80%
2000-07-18,1493.74,2.65%
